doc_id,datetime,tweet,media,likes,retweets,replies,username,handle,user_description,user_image,user_followers,sponsored,target,condition,sequence,treatment_type,control,screenshot
0,2022-03-22  06:00:00 CEST,Making pictures of Trump getting arrested while waiting for Trump's arrest.,https://pbs.twimg.com/media/FrsWiwRXwAAi6Qq?format=jpg&name=medium,8,2,0,EliotHiggins,EliotHiggins,Founder and creative director of @Bellingcat and director of Bellingcat Productions BV. Author of We Are Bellingcat. Tonal Whiplash Zone.,https://x.com/EliotHiggins/photo,4523,0,0,A,1,RN,,https://i.ibb.co/yFbfHh3/Screenshot-2024-07-30-at-10-01-19-AM.jpg
1,2022-03-22  06:00:00 CEST,RP Yosemite National Park's beauty is unmatched. From the towering sequoias to the pristine streams,https://images.unsplash.com/photo-1514509353532-1419c0935d72?q=80&w=1588&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,8,7,0,NatureFanatic,WanderlustGal,WanderlustGalTravel,https://images.unsplash.com/photo-1438761681033-6461ffad8d80?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,4523,0,0,A,2,RP,,https://i.ibb.co/yFbfHh3/Screenshot-2024-07-30-at-10-01-19-AM.jpg
2,2022-03-22  06:00:00 CEST,Spent the week in Yosemite and I'm already planning my next trip back! The trails and views are absolutely breathtaking. #Hiking #Yosemite,https://images.unsplash.com/photo-1470074558764-4e577e98bc85?q=80&w=1665&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,10,3,0,TrailTrekker,TrailTrekkerLife,Adventure seeker on a mission to hike the globe's most scenic routes.,https://images.unsplash.com/photo-1682695795931-a546abdb6733?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDF8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,3721,0,0,A,7,,education,https://i.ibb.co/yFbfHh3/Screenshot-2024-07-30-at-10-01-19-AM.jpg
3,2022-03-22  06:00:00 CEST,DN Encountered some of the most diverse wildlife at Yosemite. A truly enriching experience that everyone should have! #Wildlife #Yosemite,https://images.unsplash.com/photo-1517207183164-81b02358639f?q=80&w=3870&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,13,2,0,EcoEnthusiast,EcoEnthusiast,Passionate about wildlife conservation and eco-friendly travels.,https://images.unsplash.com/photo-1470010762743-1fa2363f65ca?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,9832,0,0,A,4,DN,,https://i.ibb.co/yFbfHh3/Screenshot-2024-07-30-at-10-01-19-AM.jpg
4,2022-03-22  06:00:00 CEST,The waterfalls in Yosemite are spectacular after the spring thaw. The mist and the roar are simply out of this world! #Nature #YosemiteFalls,https://images.unsplash.com/photo-1556595015-dda91ab57740?q=80&w=1803&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,8,0,0,NaturePhotog,CaptureTheWild,Photographer focusing on the untamed beauty of the outdoors.,https://images.unsplash.com/photo-1619365734050-cb5e64a42d43?q=80&w=1587&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,5470,0,0,A,5,,technology,https://i.ibb.co/yFbfHh3/Screenshot-2024-07-30-at-10-01-19-AM.jpg
5,2022-03-22  06:00:00 CEST,DP Disappointed with the overcrowding at Yosemite. Couldn't enjoy the views with the throngs of tourists. #Yosemite #Overcrowded,https://images.unsplash.com/photo-1517419455681-74fdb65819c4?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,18,3,0,PeaceSeeker,SeekingSerenity,On a journey to find the most tranquil spots on earth.,https://images.unsplash.com/photo-1521115507110-6a627e5ce14e?q=80&w=1587&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,2350,0,0,A,6,DP,,https://i.ibb.co/yFbfHh3/Screenshot-2024-07-30-at-10-01-19-AM.jpg
6,2022-03-22  06:00:00 CEST,Sadly,https://images.unsplash.com/photo-1475650522725-015d35677789?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,8,10,1,NatureFanatic,SimplicityLover,BackToBasics,https://images.unsplash.com/photo-1541757088-1c919081357f?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,4523,0,0,A,3,,entertainment,https://i.ibb.co/yFbfHh3/Screenshot-2024-07-30-at-10-01-19-AM.jpg
7,2022-03-22  06:00:00 CEST,DN Encountered too much litter during my hike at Yosemite. It's heartbreaking to see such negligence. #Environment #Yosemite,https://images.unsplash.com/photo-1625244514957-a8cdb2b7df0a?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,4,0,2,GreenGuardian,GuardianOfGreen,Fighting for a cleaner,https://images.unsplash.com/photo-1616003471864-9abfeee24576?q=80&w=1615&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,4523,0,0,A,8,DN,,https://i.ibb.co/yFbfHh3/Screenshot-2024-07-30-at-10-01-19-AM.jpg
8,2022-03-22  06:00:00 CEST,The park management needs to improve. Facilities at Yosemite were not up to the mark,https://images.unsplash.com/photo-1560022211-f6b003a24e39?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,8,10,1,NatureFanatic,TheOutdoorVoice,VoiceOutdoors,https://images.unsplash.com/photo-1598966739654-5e9a252d8c32?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,4523,0,0,A,9,,education,https://i.ibb.co/yFbfHh3/Screenshot-2024-07-30-at-10-01-19-AM.jpg
9,2022-03-22  06:00:00 CEST,RN Yosemite's recent restrictions have dampened the adventure spirit. Miss the old days of unrestricted exploration. #Yosemite #Restrictions,https://images.unsplash.com/photo-1686899902271-81a8424295f5?q=80&w=1587&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,9,1,0,FreeRoamer,RoamTheWild,Eternal nomad chasing the thrill of discovery and the joy of the wild.,https://images.unsplash.com/photo-1484588168347-9d835bb09939?q=80&w=1587&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,4675,0,0,A,10,RN,,https://i.ibb.co/yFbfHh3/Screenshot-2024-07-30-at-10-01-19-AM.jpg
10,2022-03-22  06:00:00 CEST,Just experienced the most incredible sunrise at El Capitan in Yosemite. Nature's majesty at its finest! #Yosemite #NatureLovers,https://images.unsplash.com/photo-1686899902271-81a8424295f5?q=80&w=1587&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,8,2,0,NatureFanatic,NatureFanatic88,Lover of all things nature. Exploring one national park at a time.,https://images.unsplash.com/photo-1522506209496-4536d9020ec4?q=80&w=1674&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,4523,0,0,B,1,,entertainment,https://i.ibb.co/yFbfHh3/Screenshot-2024-07-30-at-10-01-19-AM.jpg
11,2022-03-22  06:00:00 CEST,RP Yosemite National Park's beauty is unmatched. From the towering sequoias to the pristine streams,https://images.unsplash.com/photo-1514509353532-1419c0935d72?q=80&w=1588&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,8,7,0,NatureFanatic,WanderlustGal,WanderlustGalTravel,https://images.unsplash.com/photo-1438761681033-6461ffad8d80?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,4523,0,0,B,2,RP,,https://i.ibb.co/yFbfHh3/Screenshot-2024-07-30-at-10-01-19-AM.jpg
12,2022-03-22  06:00:00 CEST,Spent the week in Yosemite and I'm already planning my next trip back! The trails and views are absolutely breathtaking. #Hiking #Yosemite,https://images.unsplash.com/photo-1686899902271-81a8424295f5?q=80&w=1587&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,10,3,0,TrailTrekker,TrailTrekkerLife,Adventure seeker on a mission to hike the globe's most scenic routes.,https://images.unsplash.com/photo-1682695795931-a546abdb6733?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDF8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,3721,0,0,B,7,,technology,https://i.ibb.co/yFbfHh3/Screenshot-2024-07-30-at-10-01-19-AM.jpg
13,2022-03-22  06:00:00 CEST,RN Encountered some of the most diverse wildlife at Yosemite. A truly enriching experience that everyone should have! #Wildlife #Yosemite,https://images.unsplash.com/photo-1686899902271-81a8424295f5?q=80&w=1587&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,13,2,0,EcoEnthusiast,EcoEnthusiast,Passionate about wildlife conservation and eco-friendly travels.,https://images.unsplash.com/photo-1470010762743-1fa2363f65ca?q=80&w=1740&auto=format&fit=crop&ixlib=rb-4.0.3&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D,9832,0,0,B,4,RN,,https://i.ibb.co/yFbfHh3/Screenshot-2024-07-30-at-10-01-19-AM.jpg
