doc_id,datetime,datetime_old,tweet,original_media,media,likes,retweets,replies,username,handle,user_description,user_image,user_image_original,user_followers,sponsored,target,condition,sequence,treatment_type,control,screenshot,engagement,diff_from_avg,Claim 1,Claim 2,Claim 3,Claim 4,Claim 5,screenshot_control,screenshot_nowatermark,screenshot_insta,screenshot_fb,screenshot_both,screenshot_cr,disclaimer,,,,,,,,,,
1,2025-03-19 05:26:00 PM CEST,March 19 2025 11:26 AM,"WHEN YOU SEE THIS KIT, WHO DO YOU SEE?",https://drive.google.com/file/d/1p-KSz8bqMTw47FC06WyUbZhsvOUi4CK8/view?usp=share_link,https://i.postimg.cc/4ZnnjqW1/image-1.jpg,3900,454,1000,Romani,RizioRomani,Favorite Arsenal Supporter,https://i.postimg.cc/BQkDy40b/profile-1.jpg,https://drive.google.com/file/d/1jqpZ2Rh6zHZvgBkDzBV-Og5ANCzmnOSW/view?usp=share_link,437,0,0,sports,,,sports,,4354,2658.38,,,,,,https://i.postimg.cc/j2BQXGBH/rizioromani.jpg,,,,,,,,,,,,,,,,
2,2025-03-19 00:09:00 PM CEST,March 19 2025 3:00 PM,Yes or no to new City Connect jerseys?,https://drive.google.com/file/d/1axhd6MgVqvUQzMs7eHjgknbzThtgg1ou/view?usp=share_link,https://i.postimg.cc/rygJdbtj/image-2.jpg,1100,41,249,Michael Schwab,michaelschwab13,"Astros writer, The Ice Box Insider / POLITICO & USA TODAY alum / Native Houstonian / TCU grad / Shipley's, not Shipley",https://i.postimg.cc/sxFxmDSC/profile-2.jpg,https://drive.google.com/file/d/1ot34ttKOytgDpD3GrGlNfsmYqSkDRED-/view?usp=share_link,86500,0,0,sports,,,sports,,1141,-554.62,,,,,,https://i.postimg.cc/CKxrrVzD/michaelschwab13.jpg,,,,,,,,,,,,,,,,
3,2025-03-18 05:17:00 PM CEST,March 18 2025 11:17 AM,i spy with my little eye.. a new banner,https://drive.google.com/file/d/1BwxvNFhjg6G3cbZfN1fSw7Lmro80XmHQ/view?usp=share_link,https://i.postimg.cc/7Y0S3W5j/image-3.jpg,2600,74,21,alley,alleycabral,all i tweet about is the yankees,https://i.postimg.cc/gJx4R4yB/profile-3.jpg,https://drive.google.com/file/d/1otYcmiUBtEM75z31KnZFiT2J7xrRdV8J/view?usp=share_link,4423,0,0,sports,,,sports,,2674,978.38,,,,,,https://i.postimg.cc/KYVtD7nB/alleycabral.jpg,,,,,,,,,,,,,,,,
4,2025-03-19 01:50:00 PM CEST,March 19 2025 7:50 AM,Which United player is born same month as you? This should be fun...,https://drive.google.com/file/d/1GR3C49RGnOffQ6UTyto1krBVYuNd_bq0/view?usp=share_link,https://i.postimg.cc/Znf2V5sK/image-4.jpg,234,27,74,De United Man,DeUnitedman,Manchester United / fan page/,https://i.postimg.cc/RVS6Dhyv/profile-4.jpg,https://drive.google.com/file/d/1jfeWmhjg0qsnfMIbOIlAR6Ja3sNs3Qkm/view?usp=share_link,769,0,0,sports,,,sports,,261,-1434.62,,,,,,https://i.postimg.cc/G2g7nsw-j/deunitedman.jpg,,,,,,,,,,,,,,,,
5,2025-03-18 10:18:00 PM CEST,March 18 2025 4:18 PM,me after every gp this season,https://drive.google.com/file/d/1KU8-ujXAd0qV8V3DsTUUCoDn-5RHFt-g/view?usp=share_link,https://i.postimg.cc/yYjcpSTT/image-5.jpg,2600,379,1,zee,land0sc,what is going on here ⁴ ⁸¹ ⁴⁴ ¹⁶ ³³,https://i.postimg.cc/XvCkYXnT/profile-5.jpg,https://drive.google.com/file/d/11T1AdGn557BGOXlIc7bPOBeF_WrSW14A/view?usp=share_link,655,0,0,sports,,,sports,,2979,1283.38,,,,,,https://i.postimg.cc/x8zKp6vL/land0sc.jpg,,,,,,,,,,,,,,,,
6,2025-03-18 07:14:00 PM CEST,March 18 2025 1:14 PM,Did we appreciate this era enough ?,https://drive.google.com/file/d/1LxL2S-5qtelm7mYvOcd3GJSlvJ_VQj7s/view?usp=share_link,https://i.postimg.cc/RZc5z4NG/image-6.jpg,387,17,14,Nico,HerndezB37,GO BIRDS ,https://i.postimg.cc/DwqzfKtx/profile-6.jpg,https://drive.google.com/file/d/1LoJV5OPLHavwzuv9am6S2ULRudo1uQI8/view?usp=share_link,121,0,0,sports,,,sports,,404,-1291.62,,,,,,https://i.postimg.cc/Zqsb2VRs/herndexb37.jpg,,,,,,,,,,,,,,,,
7,2025-03-18 07:15:00 PM CEST,March 18 2025,Who is the best midfielder in the world ?,https://drive.google.com/file/d/1xHmdcZ_KZ2x02JmtlkhfTR8X6cSYo8fF/view?usp=share_link,https://i.postimg.cc/d1nZHb2V/image-7.jpg,497,39,11,ADAM || آدم,01AFT_,Visca barca||Messi4ever||wrestling||cinema||#pedriballlondOr,https://i.postimg.cc/htyKtP2b/profile-7.jpg,https://drive.google.com/file/d/1cKj0dbSNOp5OX7kPipttLdAFIowAT0D3/view?usp=share_link,782,0,0,sports,,,sports,,536,-1159.62,,,,,,https://i.postimg.cc/nzRtCz7d/01aft.jpg,,,,,,,,,,,,,,,,
8,2025-03-18 10:03:00 PM CEST,March 18 2025 4:03 pm,"On a scale from 1-10, what is your confidence level in this man?",https://drive.google.com/file/d/1iNUEK2F6jrRskQV0aLlDp7h1TPxEudeS/view?usp=share_link,https://i.postimg.cc/kXPDNX3v/image-8.jpg,73,7,42,DubsMuse,Dubs_Muse,Your Place For All Things WarriorsI powered by @StatMuse | #Dubnation |,https://i.postimg.cc/439jRJq3/profile-8.jpg,https://drive.google.com/file/d/1NQ6MbVQEKmXyb6Sv7rZ-bJp8eeQybqGY/view?usp=share_link,3059,0,0,sports,,,sports,,80,-1615.62,,,,,,https://i.postimg.cc/hGBPVfYM/dubsmuse.jpg,,,,,,,,,,,,,,,,
9,2025-03-19 04:09:00 PM CEST,March 19 2025 10:09 AM,"I rewatched the last 10 games of the Bills season. My biggest takeaways:
•Every DL player outside of Oliver and Rousseau was non-existent (DaQuan and Epenesa)
•Hamlin and Rasul where even worse than I remembered
•WR is a must draft even with Palmer",https://drive.google.com/file/d/1ddYR292OueyML9cfuPV1Kv0kBsWLM0GC/view?usp=share_link,https://i.postimg.cc/ZnVgq5rz/image-9.jpg,444,15,39,BillsCast,BillscastPod,"Buffalo Bills media | Draft Nerds | Run by 
@CalebNetcast
 & 
@AjBud7
 | #BillsMafia | YouTube: https://youtube.com/@buffalobillscast?si=735abFVvuU75395d",https://i.postimg.cc/sDbcdprp/profile-9.jpg,https://drive.google.com/file/d/1Zsz097VwWOy60I2bNN1gx99LjIqL00tb/view?usp=share_link,1013,0,0,sports,,,sports,,459,-1236.62,,,,,,https://i.postimg.cc/nLvQq8hb/billscastpod.jpg,,,,,,,,,,,,,,,,
10,2025-03-20 04:31:00 AM CEST,March 19 2025 10:31 PM,"welcome back to the playoffs demon 
@Tre_MJ_
@PanthersRuined
@praisescorp
@RobWc3rd
@brown_szn
@lilrocketnasa
@Dubsln4",https://drive.google.com/file/d/1RI8sVxt5cF4oDSPdJYYegMQywmOKa11N/view?usp=share_link,https://i.postimg.cc/rwLWpNwc/image-10.jpg,103,5,14,sports enthusiast,imspenser_6,i know ball. | #KeepPounding #GoDawgs Steph Curry + Caitlin Clark + Bryce Young + Phee enthusiast,https://i.postimg.cc/y6tphJNr/profile-10.jpg,https://drive.google.com/file/d/1zoHJ5qaZVsQ7jwc6WtJKohGKxK9mRDEO/view?usp=share_link,3419,0,0,sports,,,sports,,108,-1587.62,,,,,,https://i.postimg.cc/rp03yJjP/imspenser6.jpg,,,,,,,,,,,,,,,,
